studyid,accession,case_sample,tissue,platform,species,Series_pubmed_id,X.Sample_characteristics_ch1
Ods000001,GSE100274,GSM2676916,Intestine,scRNA-Seq,Mus musculus,29871632,"""cell type: Intestinal organoids""_""exposure: ENR"""
Ods000002,GSE100274,GSM2676917,Intestine,scRNA-Seq,Mus musculus,29871632,"""cell type: Intestinal organoids""_""exposure: ENR+CD"""
Ods000003,GSE100274,GSM2676918,Intestine,scRNA-Seq,Mus musculus,29871632,"""cell type: Intestinal organoids""_""exposure: ENR+CV"""
Ods000004,GSE100433,GSM2683064,Colon,Microarray,Homo sapiens,30181548,"""disease state: colorectal cancer""_""tissue (system): organoid""_""fraction (sorted cells): CD44- non-CSCs"""
Ods000005,GSE100433,GSM2683065,Colon,Microarray,Homo sapiens,30181548,"""disease state: colorectal cancer""_""tissue (system): organoid""_""fraction (sorted cells): CD44+ CSCs"""
Ods000006,GSE100433,GSM2683066,Colon,Microarray,Homo sapiens,30181548,"""disease state: colorectal cancer""_""tissue (system): organoid""_""fraction (sorted cells): CD44- non-CSCs"""
Ods000007,GSE100433,GSM2683067,Colon,Microarray,Homo sapiens,30181548,"""disease state: colorectal cancer""_""tissue (system): organoid""_""fraction (sorted cells): CD44+ CSCs"""
Ods000008,GSE100433,GSM2683068,Colon,Microarray,Homo sapiens,30181548,"""disease state: colorectal cancer""_""tissue (system): organoid""_""fraction (sorted cells): CD44- non-CSCs"""
Ods000009,GSE100433,GSM2683069,Colon,Microarray,Homo sapiens,30181548,"""disease state: colorectal cancer""_""tissue (system): organoid""_""fraction (sorted cells): CD44+ CSCs"""
Ods000010,GSE100433,GSM2683070,Colon,Microarray,Homo sapiens,30181548,"""disease state: colorectal cancer""_""tissue (system): organoid""_""fraction (sorted cells): CD44- non-CSCs"""
Ods000011,GSE100433,GSM2683071,Colon,Microarray,Homo sapiens,30181548,"""disease state: colorectal cancer""_""tissue (system): organoid""_""fraction (sorted cells): CD44+ CSCs"""
Ods000012,GSE100542,GSM2686212,Liver,RNA-Seq,Mus musculus,NA,"""strain: C57/B6""_""tissue: Adult healthy liver""_""gender: Male""_""cell type: cells cultured in matrigel in organoid medium""_""time point: 6 days"""
Ods000013,GSE100542,GSM2686213,Liver,RNA-Seq,Mus musculus,NA,"""strain: C57/B6""_""tissue: Adult healthy liver""_""gender: Male""_""cell type: cells cultured in matrigel in organoid medium""_""time point: 6 days"""
Ods000014,GSE100550,GSM2684783,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 6"""
Ods000015,GSE100550,GSM2684784,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 8"""
Ods000016,GSE100550,GSM2684785,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 7"""
Ods000017,GSE100550,GSM2684786,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 9"""
Ods000018,GSE100550,GSM2684787,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 11"""
Ods000019,GSE100550,GSM2684788,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 14"""
Ods000020,GSE100550,GSM2684789,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 16"""
Ods000021,GSE100550,GSM2684790,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 17"""
Ods000022,GSE100550,GSM2684791,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 18"""
Ods000023,GSE100550,GSM2684792,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 19"""
Ods000024,GSE100550,GSM2684793,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 20"""
Ods000025,GSE100550,GSM2684794,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 23"""
Ods000026,GSE100550,GSM2684795,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 24"""
Ods000027,GSE100550,GSM2684796,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 24"""
Ods000028,GSE100550,GSM2684797,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 25"""
Ods000029,GSE100550,GSM2684798,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 26"""
Ods000030,GSE100550,GSM2684799,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 28"""
Ods000031,GSE100550,GSM2684800,Colon,Microarray,Homo sapiens,29305587|33917026,"""disease state: CRC""_""tissue: colon tumor organoid""_""individual: patient 31"""
Ods000032,GSE100785,GSM2693218,Colon,RNA-Seq,Homo sapiens,31306552,"""tissue: Healthy left colon""_""gender: Female""_""age: 77""_""tnm: -""_""treatment: Vehicle"""
Ods000033,GSE100785,GSM2693219,Colon,RNA-Seq,Homo sapiens,31306552,"""tissue: Healthy left colon""_""gender: Male""_""age: 80""_""tnm: -""_""treatment: Vehicle"""
Ods000034,GSE100785,GSM2693220,Colon,RNA-Seq,Homo sapiens,31306552,"""tissue: Healthy left colon""_""gender: Male""_""age: 81""_""tnm: -""_""treatment: Vehicle"""
