"GSE","GSM","tissue","type","platform","species","studyid"
"GSE100542","GSM2686206","Liver","Tissue","RNA-Seq","mus_musculus",NA
"GSE100542","GSM2686207","Liver","Tissue","RNA-Seq","mus_musculus",NA
"GSE100542","GSM2686212","Liver","Organoid","RNA-Seq","mus_musculus","Ods000012"
"GSE100542","GSM2686213","Liver","Organoid","RNA-Seq","mus_musculus","Ods000013"
"GSE100542","GSM2686208","Liver","Tissue","RNA-Seq","mus_musculus",NA
"GSE100542","GSM2686209","Liver","Tissue","RNA-Seq","mus_musculus",NA
"GSE100542","GSM2686210","Liver","Tissue","RNA-Seq","mus_musculus",NA
"GSE100542","GSM2686211","Liver","Tissue","RNA-Seq","mus_musculus",NA
"GSE102335","GSM2734886","Brain","Cell","RNA-Seq","homo_sapiens",NA
"GSE102335","GSM2734887","Brain","Cell","RNA-Seq","homo_sapiens",NA
"GSE102335","GSM2734888","Brain","Cell","RNA-Seq","homo_sapiens",NA
"GSE102335","GSM2734882","Brain","Organoid","RNA-Seq","homo_sapiens","Ods000100"
"GSE102335","GSM2734889","Brain","Organoid","RNA-Seq","homo_sapiens","Ods000104"
"GSE102335","GSM2734890","Brain","Organoid","RNA-Seq","homo_sapiens","Ods000105"
"GSE102335","GSM2734891","Brain","PSCs","RNA-Seq","homo_sapiens",NA
"GSE102335","GSM2734892","Brain","PSCs","RNA-Seq","homo_sapiens",NA
"GSE102335","GSM2734893","Brain","PSCs","RNA-Seq","homo_sapiens",NA
"GSE102335","GSM2734894","Brain","PSCs","RNA-Seq","homo_sapiens",NA
"GSE102335","GSM2734895","Brain","Cell","RNA-Seq","homo_sapiens",NA
"GSE102335","GSM2734896","Brain","Cell","RNA-Seq","homo_sapiens",NA
"GSE102335","GSM2734897","Brain","Cell","RNA-Seq","homo_sapiens",NA
"GSE102335","GSM2734883","Brain","Organoid","RNA-Seq","homo_sapiens","Ods000101"
"GSE102335","GSM2734884","Brain","Organoid","RNA-Seq","homo_sapiens","Ods000102"
"GSE102335","GSM2734885","Brain","Organoid","RNA-Seq","homo_sapiens","Ods000103"
"GSE106510","GSM3456238","Intestine","Cell","scRNA-Seq(10X)","mus_musculus",NA
"GSE106510","GSM3456239","Intestine","Cell","scRNA-Seq(10X)","mus_musculus",NA
"GSE106510","GSM3456240","Intestine","Cell","scRNA-Seq(10X)","mus_musculus",NA
"GSE106510","GSM3456241","Intestine","Cell","scRNA-Seq(10X)","mus_musculus",NA
"GSE106510","GSM2839412","Intestine","Organoid","scRNA-Seq(10X)","mus_musculus","Ods000333"
"GSE106510","GSM2839413","Intestine","Organoid","scRNA-Seq(10X)","mus_musculus","Ods000334"
"GSE106510","GSM2839414","Intestine","Organoid","scRNA-Seq(10X)","mus_musculus","Ods000335"
"GSE106510","GSM2839415","Intestine","Organoid","scRNA-Seq(10X)","mus_musculus","Ods000336"
"GSE106821","GSM2854806","Cerebral cortex","PSCs","RNA-Seq","homo_sapiens",NA
"GSE106821","GSM2854807","Cerebral cortex","PSCs","RNA-Seq","homo_sapiens",NA
"GSE106821","GSM2854808","Cerebral cortex","PSCs","RNA-Seq","homo_sapiens",NA
