GSE,GSM,tissue,type,platform,species,studyid
GSE100542,GSM2686206,Liver,Tissue,RNA-Seq,mus_musculus,NA
GSE100542,GSM2686207,Liver,Tissue,RNA-Seq,mus_musculus,NA
GSE100542,GSM2686212,Liver,Organoid,RNA-Seq,mus_musculus,Ods000012
GSE100542,GSM2686213,Liver,Organoid,RNA-Seq,mus_musculus,Ods000013
GSE100542,GSM2686208,Liver,Tissue,RNA-Seq,mus_musculus,NA
GSE100542,GSM2686209,Liver,Tissue,RNA-Seq,mus_musculus,NA
GSE100542,GSM2686210,Liver,Tissue,RNA-Seq,mus_musculus,NA
GSE100542,GSM2686211,Liver,Tissue,RNA-Seq,mus_musculus,NA
GSE102335,GSM2734882,Brain,Organoid,RNA-Seq,homo_sapiens,Ods000100
GSE102335,GSM2734889,Brain,Organoid,RNA-Seq,homo_sapiens,Ods000104
GSE102335,GSM2734890,Brain,Organoid,RNA-Seq,homo_sapiens,Ods000105
GSE102335,GSM2734883,Brain,Organoid,RNA-Seq,homo_sapiens,Ods000101
GSE102335,GSM2734884,Brain,Organoid,RNA-Seq,homo_sapiens,Ods000102
GSE102335,GSM2734885,Brain,Organoid,RNA-Seq,homo_sapiens,Ods000103
GSE106510,GSM2839412,Intestine,Organoid,scRNA-Seq(10X),mus_musculus,Ods000333
GSE106510,GSM2839413,Intestine,Organoid,scRNA-Seq(10X),mus_musculus,Ods000334
GSE106510,GSM2839414,Intestine,Organoid,scRNA-Seq(10X),mus_musculus,Ods000335
GSE106510,GSM2839415,Intestine,Organoid,scRNA-Seq(10X),mus_musculus,Ods000336
GSE106821,GSM2854812,Cerebral cortex,Organoid,RNA-Seq,homo_sapiens,Ods000350
GSE106821,GSM2854813,Cerebral cortex,Organoid,RNA-Seq,homo_sapiens,Ods000351
GSE106821,GSM2854814,Cerebral cortex,Organoid,RNA-Seq,homo_sapiens,Ods000352
GSE106821,GSM2854818,Cerebral cortex,Organoid,RNA-Seq,homo_sapiens,Ods000356
GSE106821,GSM2854819,Cerebral cortex,Organoid,RNA-Seq,homo_sapiens,Ods000357
GSE106821,GSM2854820,Cerebral cortex,Organoid,RNA-Seq,homo_sapiens,Ods000358
GSE106872,GSM4023873,Cerebral cortex,Organoid,RNA-Seq,homo_sapiens,NA
GSE108116,GSM3398394,Cerebral cortex,Organoid,RNA-Seq,homo_sapiens,Ods000456
GSE108116,GSM3398395,Cerebral cortex,Organoid,RNA-Seq,homo_sapiens,Ods000457
GSE108351,GSM2895835,Kidney,Organoid,RNA-Seq,homo_sapiens,Ods000462
GSE108351,GSM2895840,Kidney,Organoid,RNA-Seq,homo_sapiens,Ods000466
GSE108351,GSM2895836,Kidney,Organoid,RNA-Seq,homo_sapiens,Ods000463
GSE108351,GSM2895841,Kidney,Organoid,RNA-Seq,homo_sapiens,Ods000467
GSE108351,GSM2895837,Kidney,Organoid,RNA-Seq,homo_sapiens,Ods000464
GSE108351,GSM2895842,Kidney,Organoid,RNA-Seq,homo_sapiens,Ods000468
GSE108351,GSM2895838,Kidney,Organoid,RNA-Seq,homo_sapiens,Ods000465
