"studyid","accession","case_sample","tissue","platform","species","Series_pubmed_id","X.Sample_characteristics_ch1"
"Ods000095","GSE101770","GSM2715271","Liver","RNA-Seq","Homo sapiens","28878125","""cell type: secondary hepatic organoids""_""day: > day 62"""
"Ods000096","GSE101770","GSM2715272","Liver","RNA-Seq","Homo sapiens","28878125","""cell type: secondary hepatic organoids""_""day: > day 62"""
"Ods000097","GSE101770","GSM2715274","Liver","RNA-Seq","Homo sapiens","28878125","""cell type: primary hepatic organoids""_""day: > day 21"""
"Ods000098","GSE101770","GSM2715275","Liver","RNA-Seq","Homo sapiens","28878125","""cell type: primary hepatic organoids""_""day: > day 21"""
"Ods000106","GSE102727","GSM2743816","Retina","RNA-Seq","Mus musculus","29233554","""age: D18""_""tissue: ESC derived Retina organoids""_""growth culture: rotating-walled bioreactor (RWB)"""
"Ods000107","GSE102727","GSM2743817","Retina","RNA-Seq","Mus musculus","29233554","""age: D18""_""tissue: ESC derived Retina organoids""_""growth culture: rotating-walled bioreactor (RWB)"""
"Ods000108","GSE102727","GSM2743818","Retina","RNA-Seq","Mus musculus","29233554","""age: D22""_""tissue: ESC derived Retina organoids""_""growth culture: rotating-walled bioreactor (RWB)"""
"Ods000109","GSE102727","GSM2743819","Retina","RNA-Seq","Mus musculus","29233554","""age: D22""_""tissue: ESC derived Retina organoids""_""growth culture: rotating-walled bioreactor (RWB)"""
"Ods000110","GSE102727","GSM2743820","Retina","RNA-Seq","Mus musculus","29233554","""age: D22""_""tissue: ESC derived Retina organoids""_""growth culture: rotating-walled bioreactor (RWB)"""
"Ods000111","GSE102727","GSM2743821","Retina","RNA-Seq","Mus musculus","29233554","""age: D25""_""tissue: ESC derived Retina organoids""_""growth culture: rotating-walled bioreactor (RWB)"""
"Ods000112","GSE102727","GSM2743822","Retina","RNA-Seq","Mus musculus","29233554","""age: D25""_""tissue: ESC derived Retina organoids""_""growth culture: rotating-walled bioreactor (RWB)"""
"Ods000113","GSE102727","GSM2743823","Retina","RNA-Seq","Mus musculus","29233554","""age: D25""_""tissue: ESC derived Retina organoids""_""growth culture: rotating-walled bioreactor (RWB)"""
"Ods000114","GSE102727","GSM2743824","Retina","RNA-Seq","Mus musculus","29233554","""age: D18""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, dissected (SSCd)"""
"Ods000115","GSE102727","GSM2743825","Retina","RNA-Seq","Mus musculus","29233554","""age: D18""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, dissected (SSCd)"""
"Ods000116","GSE102727","GSM2743826","Retina","RNA-Seq","Mus musculus","29233554","""age: D18""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, dissected (SSCd)"""
"Ods000117","GSE102727","GSM2743827","Retina","RNA-Seq","Mus musculus","29233554","""age: D22""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, dissected (SSCd)"""
"Ods000118","GSE102727","GSM2743828","Retina","RNA-Seq","Mus musculus","29233554","""age: D22""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, dissected (SSCd)"""
"Ods000119","GSE102727","GSM2743829","Retina","RNA-Seq","Mus musculus","29233554","""age: D22""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, dissected (SSCd)"""
"Ods000120","GSE102727","GSM2743830","Retina","RNA-Seq","Mus musculus","29233554","""age: D28""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, dissected (SSCd)"""
"Ods000121","GSE102727","GSM2743831","Retina","RNA-Seq","Mus musculus","29233554","""age: D28""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, dissected (SSCd)"""
"Ods000122","GSE102727","GSM2743832","Retina","RNA-Seq","Mus musculus","29233554","""age: D28""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, dissected (SSCd)"""
"Ods000123","GSE102727","GSM2743833","Retina","RNA-Seq","Mus musculus","29233554","""age: D18""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, intact (SSCi)"""
"Ods000124","GSE102727","GSM2743834","Retina","RNA-Seq","Mus musculus","29233554","""age: D18""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, intact (SSCi)"""
"Ods000125","GSE102727","GSM2743835","Retina","RNA-Seq","Mus musculus","29233554","""age: D25""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, intact (SSCi)"""
"Ods000126","GSE102727","GSM2743836","Retina","RNA-Seq","Mus musculus","29233554","""age: D25""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, intact (SSCi)"""
"Ods000127","GSE102727","GSM2743837","Retina","RNA-Seq","Mus musculus","29233554","""age: D32""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, intact (SSCi)"""
"Ods000128","GSE102727","GSM2743838","Retina","RNA-Seq","Mus musculus","29233554","""age: D32""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, intact (SSCi)"""
"Ods000129","GSE102727","GSM2743839","Retina","RNA-Seq","Mus musculus","29233554","""age: D32""_""tissue: ESC derived Retina organoids""_""growth culture: static suspension culture, intact (SSCi)"""
"Ods000156","GSE102795","GSM2746503","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D0""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000157","GSE102795","GSM2746504","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D0""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000158","GSE102795","GSM2746505","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D0""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000159","GSE102795","GSM2746506","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D4""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000160","GSE102795","GSM2746507","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D4""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000161","GSE102795","GSM2746508","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D4""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000162","GSE102795","GSM2746509","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D7""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000163","GSE102795","GSM2746510","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D7""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000164","GSE102795","GSM2746511","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D7""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000165","GSE102795","GSM2746512","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D10""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000166","GSE102795","GSM2746513","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D10""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000167","GSE102795","GSM2746514","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D10""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000168","GSE102795","GSM2746515","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D12""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000169","GSE102795","GSM2746516","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D12""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000170","GSE102795","GSM2746517","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D12""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000171","GSE102795","GSM2746518","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D15""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000172","GSE102795","GSM2746519","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D15""_""tissue/cell type: iPSC-derived Retina organoids"""
"Ods000173","GSE102795","GSM2746520","Retina","RNA-Seq","Mus musculus","31631019","""cell type source: Nrl-GFP wild-type (WT) induced pluripotent stem cells (iPSC)""_""age: D15""_""tissue/cell type: iPSC-derived Retina organoids"""
